Distance_(µm),Gray_Value
550.549987793,26.151052475
551.200012207,26.405914307
551.849975586,26.321094513
552.500000000,26.078578949
553.150024414,26.071294785
553.799987793,26.241119385
554.450012207,26.356967926
555.099975586,26.352170944
555.750000000,26.692016602
556.400024414,27.055965424
557.049987793,27.419744492
557.700012207,27.828332901
558.349975586,28.109584808
559.000000000,28.310514450
559.650024414,28.828584671
560.299987793,29.045932770
560.950012207,29.072521210
561.599975586,29.283128738
562.250000000,29.341241837
562.900024414,28.987457275
563.549987793,28.383625031
564.200012207,27.836690903
564.849975586,27.252370834
565.500000000,26.547513962
566.150024414,26.169691086
566.799987793,25.605180740
567.450012207,25.137218475
568.099975586,25.157136917
568.750000000,25.137414932
569.400024414,24.923027039
570.049987793,24.786285400
570.700012207,24.396600723
571.349975586,24.218425751
572.000000000,24.075973511
572.650024414,23.514194489
573.299987793,22.981185913
573.950012207,22.693147659
574.599975586,22.421495438
575.250000000,22.382291794
575.900024414,22.341100693
576.549987793,22.292606354
577.200012207,21.975742340
577.849975586,21.792278290
578.500000000,21.541294098
579.150024414,21.616779327
579.799987793,21.777873993
580.450012207,21.957328796
581.099975586,22.222053528
581.750000000,22.151016235
582.400024414,21.822515488
583.049987793,21.870319366
583.700012207,22.170146942
584.349975586,22.089235306
585.000000000,21.921855927
585.650024414,22.024003983
586.299987793,22.282775879
586.950012207,22.854293823
587.599975586,23.162954330
588.250000000,23.179473877
