Distance_(µm),Gray_Value
663.650024414,17.415884018
664.299987793,17.427801132
664.950012207,17.339368820
665.599975586,17.360418320
666.250000000,17.349063873
666.900024414,17.281240463
667.549987793,17.165105820
668.200012207,16.897565842
668.849975586,16.734218597
669.500000000,16.650787354
670.150024414,16.572809219
670.799987793,16.488391876
671.450012207,16.375087738
672.099975586,16.367153168
672.750000000,16.327087402
673.400024414,16.199020386
674.049987793,16.084974289
674.700012207,15.893884659
675.349975586,15.770357132
676.000000000,15.675977707
676.650024414,15.551626205
677.299987793,15.341938019
677.950012207,15.215147972
678.599975586,15.205939293
679.250000000,15.145248413
679.900024414,14.911255836
680.549987793,14.721982002
681.200012207,14.678326607
681.849975586,14.693995476
682.500000000,14.845856667
683.150024414,15.032120705
683.799987793,15.285079956
684.450012207,15.655059814
685.099975586,16.213579178
685.750000000,16.717494965
686.400024414,17.123352051
687.049987793,17.422019958
687.700012207,17.660564423
688.349975586,17.689508438
689.000000000,17.676488876
689.650024414,17.706815720
690.299987793,17.786430359
690.950012207,17.950458527
691.599975586,18.131586075
692.250000000,18.166408539
692.900024414,18.223764420
693.549987793,18.311979294
694.200012207,18.272560120
694.849975586,18.352371216
695.500000000,18.418920517
696.150024414,18.273729324
696.799987793,18.282842636
697.450012207,18.285875320
698.099975586,18.310258865
698.750000000,18.518697739
699.400024414,18.764781952
700.049987793,18.937623978
700.700012207,18.912843704
701.349975586,18.874046326
702.000000000,18.794931412
702.650024414,18.694532394
703.299987793,18.523775101
703.950012207,18.297555923
704.599975586,18.248050690
705.250000000,18.379735947
705.900024414,18.479227066
706.549987793,18.409772873
707.200012207,18.487874985
707.849975586,18.565900803
708.500000000,18.630496979
709.150024414,18.601139069
709.799987793,18.715229034
710.450012207,18.866958618
711.099975586,18.779987335
711.750000000,18.858762741
712.400024414,19.103136063
713.049987793,19.510990143
713.700012207,19.402273178
714.349975586,19.261137009
715.000000000,19.150177002
715.650024414,19.051885605
716.299987793,19.000263214
716.950012207,19.016946793
717.599975586,19.210832596
718.250000000,19.456352234
718.900024414,19.709707260
719.549987793,19.875850677
720.200012207,20.103044510
720.849975586,20.519924164
721.500000000,20.690717697
722.150024414,20.830974579
722.799987793,21.026731491
723.450012207,21.035140991
724.099975586,20.631414413
724.750000000,20.378650665
725.400024414,20.363660812
726.049987793,20.277090073
726.700012207,20.062856674
727.349975586,19.866140366
728.000000000,19.867710114
728.650024414,19.893066406
729.299987793,19.854509354
729.950012207,19.753929138
730.599975586,19.720140457
731.250000000,19.702474594
731.900024414,19.646133423
732.549987793,19.614278793
733.200012207,19.426563263
733.849975586,19.227258682
734.500000000,19.132511139
735.150024414,19.109891891
735.799987793,19.202613831
736.450012207,19.255990982
737.099975586,19.382780075
737.750000000,19.487785339
738.400024414,19.175134659
739.049987793,18.993770599
739.700012207,18.888959885
740.349975586,18.956474304
741.000000000,19.073907852
741.650024414,19.122175217
742.299987793,19.327987671
742.950012207,19.566921234
743.599975586,19.579780579
744.250000000,19.581951141
744.900024414,19.424417496
745.549987793,19.248989105
746.200012207,19.262954712
746.849975586,19.287504196
747.500000000,19.199436188
748.150024414,19.110961914
748.799987793,19.089971542
749.450012207,18.828746796
750.099975586,18.546865463
750.750000000,18.469036102
751.400024414,18.344467163
752.049987793,18.192392349
752.700012207,18.124641418
753.349975586,18.237489700
754.000000000,18.534244537
